"No.","Time","Source","Destination","Protocol","Length","Info"
"39","3.029650","2800:3f0:4001:82b::2016","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","857","Protected Payload (KP0)"
"40","3.029650","2800:3f0:4001:82b::2016","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","225","Protected Payload (KP0)"
"41","3.029650","2800:3f0:4001:82b::2016","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","86","Protected Payload (KP0)"
"42","3.031145","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:82b::2016","QUIC","1292","Handshake, DCID=e575e53a00fd71ff"
"43","3.031420","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:82b::2016","QUIC","135","Handshake, DCID=e575e53a00fd71ff"
"44","3.031679","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:82b::2016","QUIC","93","Protected Payload (KP0), DCID=e575e53a00fd71ff"
"45","3.031739","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","619","443  >  63671 Len=557"
"46","3.031739","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","133","443  >  63671 Len=71"
"47","3.032175","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:820::200e","UDP","100","63671  >  443 Len=38"
"48","3.044497","2800:3f0:4001:832::200a","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","1292","Protected Payload (KP0)"
"49","3.045726","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:832::200a","QUIC","141","Handshake, DCID=f27cac3b1b977e43"
"50","3.046016","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:820::200e","UDP","95","63671  >  443 Len=33"
"51","3.057438","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:82b::2016","QUIC","94","Protected Payload (KP0), DCID=e575e53a00fd71ff"
"52","3.059329","2800:3f0:4001:832::200a","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","855","Protected Payload (KP0)"
"53","3.059329","2800:3f0:4001:832::200a","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","245","Protected Payload (KP0)"
