"No.","Time","Source","Destination","Protocol","Length","Info"
"11711","124.103491","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2001:4860:4860::8844","QUIC","93","Protected Payload (KP0), DCID=e0e7f3d930b4f544"
"11712","124.105744","2800:3f0:4001:830::2002","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","1292","Initial, SCID=c4f79771432d6ac5, PKN: 1, ACK, PADDING"
"11713","124.137889","2800:3f0:4001:830::2002","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","1292","Protected Payload (KP0)"
"11714","124.138108","2800:3f0:4001:830::2002","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","853","Protected Payload (KP0)"
"11715","124.138108","2800:3f0:4001:830::2002","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","261","Protected Payload (KP0)"
"11716","124.138108","2800:3f0:4001:830::2002","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","86","Protected Payload (KP0)"
"11717","124.138534","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:830::2002","QUIC","140","Handshake, DCID=c4f79771432d6ac5"
"11718","124.138682","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:830::2002","QUIC","93","Protected Payload (KP0), DCID=c4f79771432d6ac5"
"11719","124.164611","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:830::2002","QUIC","94","Protected Payload (KP0), DCID=c4f79771432d6ac5"
"11720","124.187886","2800:3f0:4001:830::2002","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","182","Protected Payload (KP0)"
"11721","124.187986","2800:3f0:4001:830::2002","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","84","Protected Payload (KP0)"
"11722","124.188145","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:830::2002","QUIC","93","Protected Payload (KP0), DCID=c4f79771432d6ac5"
"11723","124.191930","2800:3f0:4001:830::2002","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","503","Protected Payload (KP0)"
"11724","124.192394","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:830::2002","QUIC","97","Protected Payload (KP0), DCID=c4f79771432d6ac5"
"11725","124.193023","2800:3f0:4001:830::2002","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","83","Protected Payload (KP0)"
"11726","124.194194","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:830::2002","QUIC","103","Protected Payload (KP0), DCID=c4f79771432d6ac5"
"11727","124.194874","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:830::2002","QUIC","159","Protected Payload (KP0), DCID=c4f79771432d6ac5"
"11728","124.244545","2800:3f0:4001:830::2002","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","87","Protected Payload (KP0)"
"11729","124.244545","2800:3f0:4001:830::2002","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","91","Protected Payload (KP0)"
"11730","124.271652","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:830::2002","QUIC","94","Protected Payload (KP0), DCID=c4f79771432d6ac5"
"11731","124.294643","2800:3f0:4001:830::2002","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","310","Protected Payload (KP0)"
"11732","124.294959","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:830::2002","QUIC","97","Protected Payload (KP0), DCID=c4f79771432d6ac5"
"11733","124.298555","2800:3f0:4001:830::2002","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","259","Protected Payload (KP0)"
